publication_id,study_id,es_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation,wansink
52,84,115,Diliberti et al. (2004),Increased portion size leads to increased energy intake in a restaurant meal,2004,1,food,structure,default,natural_field,1,180,180,89,91,0,1671,122.64,2390,305.26,3.0784,0.0485,0,0
66,114,146,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,39,27,13,14,0,35,7.77,14.45,5.9,2.995,0.2342,0,1
66,114,147,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,39,25,13,12,0,35,7.77,15.86,5.8,2.7746,0.3142,0,1
176,272,366,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,food,structure,default,natural_field,1,105,105,53,52,1,0.06,NA,1,NA,2.6467,0.0715,1,0
194,302,405,Van Kleef et al. (2018),The effect of a default-based nudge on the choice of whole wheat bread,2018,0,food,structure,default,conventional_lab,1,117,117,59,58,1,0.19,NA,1,NA,2.2395,0.0556,0,0
176,273,367,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,food,structure,default,natural_field,1,105,105,53,52,1,0.02,NA,0.9,NA,2.2143,0.0614,1,0
66,115,148,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,59,40,19,21,0,45.25,14.02,20.25,9.26,2.1263,0.1568,0,0
200,310,414,Wansink & van Ittersum (2003),Bottoms up! The influence of elongation on pouring and consumption volume,2003,1,food,structure,default,natural_field,0,97,97,49,48,0,5.54,NA,9.66,NA,1.966,0.0612,1,1
111,183,237,Loeb et al. (2017),The application of defaults to optimize parents' health-based choices for children,2017,1,health,structure,default,framed_field,1,62,62,28,34,1,0.178571429,NA,0.970588235,NA,1.9243,0.095,1,0
208,325,433,Young et al. (2009),Opt-out testing for stigmatized diseases: A social psychological approach to understanding the potential effect of recommendations for routine HIV testing,2009,1,health,structure,default,conventional_lab,1,40,40,20,20,1,0.125,NA,0.94,NA,1.9239,0.1463,1,0
66,115,149,Geier et al. (2012),Red Potato Chips: Segmentation cues can substantially decrease food intake,2012,1,food,structure,composition,conventional_lab,1,59,38,19,19,0,45.25,14.02,23.68,7.79,1.9019,0.1529,0,0
176,274,368,Steffel et al. (2016),Ethically deployed defaults: Transparency and consumer protection through disclosure and preference articulation,2016,1,other,structure,default,artefactual_field,1,817,817,409,408,0,5.53,3.42,11.22,3.38,1.6735,0.0066,1,0
200,311,415,Wansink & van Ittersum (2003),Bottoms up! The influence of elongation on pouring and consumption volume,2003,1,food,structure,default,framed_field,1,45,45,23,22,0,1.62,NA,2.06,NA,1.6288,0.1184,1,1
169,263,353,Shevchenko et al. (2014),Change and status quo in decisions with defaults: The effect of incidental emotions depends on the type of default,2014,1,other,structure,default,artefactual_field,1,67,67,32,35,1,0.13,NA,0.83,NA,1.5539,0.0778,0,0
85,140,184,Hou (2017),Can interface cues nudge modeling of food consumption? Experiments on a food-ordering website,2017,1,food,information,social_reference,framed_field,1,60,60,30,30,0,8.59,4.02,3.47,2.41,1.5448,0.0866,1,0
25,40,57,Bohnet et al. (2016),When performance trumps gender bias: Joint vs separate evaluation,2016,1,other,structure,composition,conventional_lab,1,61,61,26,35,1,0.65,NA,0.03,NA,1.5273,0.0862,0,0
203,316,420,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,0,food,structure,composition,framed_field,1,86,60,34,26,0,11.61,3.64,17.54,4.19,1.5257,0.0873,0,1
168,262,352,Shealy et al. (2018),Providing descriptive norms during engineering design can encourage more sustainable infrastructure,2018,1,environment,information,social_reference,artefactual_field,1,67,67,24,43,0,93,37.38,140.5,28.36,1.4916,0.0815,0,0
194,303,406,Van Kleef et al. (2018),The effect of a default-based nudge on the choice of whole wheat bread,2018,0,food,structure,default,conventional_lab,1,109,109,52,57,1,0.21,NA,0.88,NA,1.482,0.0469,0,0
122,199,265,Meeker et al. (2014),Nudging guideline-concordant antibiotic prescribing: A randomized clinical trial,2014,1,health,assistance,commitment,framed_field,1,14,14,7,7,0,9.9,13.63372,-9.8,13.02628,1.4775,0.3637,0,0
